RTC_Time,Elapsed_s,Temp_C,Setpoint_C,PWM_pct,Error_C
14:26:31,1,34.18,40.0,100,5.82
14:26:33,3,34.18,40.0,100,5.82
14:26:35,5,34.17,40.0,100,5.83
14:26:37,7,34.18,40.0,100,5.82
14:26:39,9,34.18,40.0,100,5.82
14:26:41,11,34.18,40.0,100,5.82
14:26:43,13,34.18,40.0,100,5.82
14:26:45,15,34.18,40.0,100,5.82
14:26:47,17,34.18,40.0,100,5.82
14:26:49,19,34.18,40.0,100,5.82
14:26:51,21,34.19,40.0,100,5.81
14:26:53,23,34.18,40.0,100,5.82
14:26:55,25,34.18,40.0,100,5.82
14:26:57,27,34.18,40.0,100,5.82
14:26:59,29,34.19,40.0,100,5.81
14:27:01,31,34.18,40.0,100,5.82
14:27:03,33,34.19,40.0,100,5.81
14:27:05,35,34.19,40.0,100,5.81
14:27:07,37,34.19,40.0,100,5.81
14:27:10,39,34.19,40.0,100,5.81
14:27:12,41,34.19,40.0,100,5.81
14:27:14,43,34.19,40.0,100,5.81
14:27:16,45,34.19,40.0,100,5.81
14:27:18,47,34.19,40.0,100,5.81
14:27:20,49,34.19,40.0,100,5.81
14:27:22,51,34.19,40.0,100,5.81
14:27:24,53,34.19,40.0,100,5.81
14:27:26,55,34.19,40.0,100,5.81
14:27:28,57,34.19,40.0,100,5.81
14:27:30,59,34.19,40.0,100,5.81
14:27:32,61,34.19,40.0,100,5.81
14:27:34,63,34.19,40.0,100,5.81
14:27:36,65,34.19,40.0,100,5.81
14:27:38,67,34.19,40.0,100,5.81
14:27:40,69,34.19,40.0,100,5.81
14:27:42,71,34.19,40.0,100,5.81
14:27:44,73,34.19,40.0,100,5.81
14:27:46,75,34.18,40.0,100,5.82
14:27:48,77,34.17,40.0,100,5.83
14:27:50,79,34.18,40.0,100,5.82
14:27:52,81,34.18,40.0,100,5.82
14:27:54,83,34.18,40.0,100,5.82
14:27:56,85,34.18,40.0,100,5.82
14:27:58,87,34.18,40.0,100,5.82
14:28:00,89,34.18,40.0,100,5.82
14:28:02,91,34.17,40.0,100,5.83
14:28:04,93,34.17,40.0,100,5.83
14:28:06,95,34.17,40.0,100,5.83
14:28:08,97,34.17,40.0,100,5.83
14:28:10,99,34.17,40.0,100,5.83
14:28:12,101,34.17,40.0,100,5.83
14:28:14,103,34.17,40.0,100,5.83
14:28:16,105,34.17,40.0,100,5.83
14:28:18,107,34.17,40.0,100,5.83
14:28:20,109,34.17,40.0,100,5.83
14:28:22,111,34.17,40.0,100,5.83
14:28:24,113,34.16,40.0,100,5.84
14:28:26,115,34.16,40.0,100,5.84
14:28:28,117,34.16,40.0,100,5.84
14:28:30,119,34.16,40.0,100,5.84
14:28:32,121,34.16,40.0,100,5.84
14:28:34,123,34.16,40.0,100,5.84
14:28:36,125,34.16,40.0,100,5.84
14:28:38,127,34.15,40.0,100,5.85
14:28:40,129,34.16,40.0,100,5.84
14:28:42,131,34.16,40.0,100,5.84
14:28:44,133,34.15,40.0,100,5.85
14:28:46,135,34.15,40.0,100,5.85
14:28:48,137,34.14,40.0,100,5.86
14:28:50,139,34.14,40.0,100,5.86
14:28:52,141,34.15,40.0,100,5.85
14:28:54,143,34.14,40.0,100,5.86
14:28:56,145,34.14,40.0,100,5.86
14:28:58,147,34.15,40.0,100,5.85
14:29:00,149,34.14,40.0,100,5.86
14:29:02,151,34.14,40.0,100,5.86
14:29:04,153,34.14,40.0,100,5.86
14:29:06,155,34.14,40.0,100,5.86
14:29:08,157,34.14,40.0,100,5.86
14:29:10,159,34.13,40.0,100,5.87
14:29:12,161,34.13,40.0,100,5.87
14:29:14,163,34.13,40.0,100,5.87
14:29:16,165,34.13,40.0,100,5.87
14:29:18,167,34.12,40.0,100,5.88
14:29:20,169,34.12,40.0,100,5.88
14:29:22,171,34.12,40.0,100,5.88
14:29:24,173,34.12,40.0,100,5.88
14:29:26,175,34.12,40.0,100,5.88
14:29:28,177,34.12,40.0,100,5.88
14:29:30,179,34.11,40.0,100,5.89
14:29:32,181,34.11,40.0,100,5.89
14:29:34,183,34.11,40.0,100,5.89
14:29:36,185,34.10,40.0,100,5.90
14:29:38,187,34.10,40.0,100,5.90
14:29:40,189,34.11,40.0,100,5.89
14:29:42,191,34.10,40.0,100,5.90
14:29:44,193,34.10,40.0,100,5.90
14:29:46,195,34.10,40.0,100,5.90
14:29:48,197,34.10,40.0,100,5.90
14:29:50,199,34.10,40.0,100,5.90
14:29:52,201,34.09,40.0,100,5.91
14:29:54,203,34.09,40.0,100,5.91
14:29:56,205,34.08,40.0,100,5.92
14:29:58,207,34.09,40.0,100,5.91
14:30:00,209,34.08,40.0,100,5.92
14:30:02,211,34.08,40.0,100,5.92
14:30:04,213,34.08,40.0,100,5.92
14:30:06,215,34.08,40.0,100,5.92
14:30:08,217,34.07,40.0,100,5.93
14:30:10,219,34.06,40.0,100,5.94
14:30:12,221,34.07,40.0,100,5.93
14:30:14,223,34.07,40.0,100,5.93
14:30:16,225,34.07,40.0,100,5.93
14:30:18,227,34.06,40.0,100,5.94
14:30:20,229,34.05,40.0,100,5.95
14:30:22,231,34.06,40.0,100,5.94
14:30:24,233,34.05,40.0,100,5.95
14:30:26,235,34.06,40.0,100,5.94
14:30:28,237,34.05,40.0,100,5.95
14:30:30,239,34.05,40.0,100,5.95
14:30:32,241,34.04,40.0,100,5.96
14:30:34,243,34.04,40.0,100,5.96
14:30:36,245,34.04,40.0,100,5.96
14:30:38,247,34.04,40.0,100,5.96
14:30:40,249,34.04,40.0,100,5.96
14:30:42,251,34.04,40.0,100,5.96
14:30:44,253,34.04,40.0,100,5.96
14:30:46,255,34.03,40.0,100,5.97
14:30:48,257,34.02,40.0,100,5.98
14:30:50,259,34.02,40.0,100,5.98
14:30:52,261,34.02,40.0,100,5.98
14:30:54,263,34.02,40.0,100,5.98
14:30:56,265,34.01,40.0,100,5.99
14:30:58,267,34.01,40.0,100,5.99
14:31:00,269,34.00,40.0,100,6.00
14:31:02,271,34.01,40.0,100,5.99
14:31:04,273,34.00,40.0,100,6.00
14:31:06,275,34.00,40.0,100,6.00
14:31:08,277,33.99,40.0,100,6.01
14:31:10,279,33.99,40.0,100,6.01
14:31:12,281,33.99,40.0,100,6.01
14:31:14,283,34.00,40.0,100,6.00
14:31:16,285,33.99,40.0,100,6.01
14:31:18,287,33.99,40.0,100,6.01
14:31:20,289,33.98,40.0,100,6.02
14:31:22,291,33.98,40.0,100,6.02
14:31:24,293,33.98,40.0,100,6.02
14:31:26,295,33.98,40.0,100,6.02
14:31:28,297,33.98,40.0,100,6.02
14:31:30,299,33.97,40.0,100,6.03
14:31:32,301,33.97,40.0,100,6.03
14:31:34,303,33.97,40.0,100,6.03
14:31:36,305,33.96,40.0,100,6.04
14:31:38,307,33.96,40.0,100,6.04
14:31:40,309,33.96,40.0,100,6.04
14:31:42,311,33.95,40.0,100,6.05
14:31:44,313,33.95,40.0,100,6.05
14:31:46,315,33.94,40.0,100,6.06
14:31:48,317,33.95,40.0,100,6.05
14:31:50,319,33.94,40.0,100,6.06
14:31:52,321,33.94,40.0,100,6.06
14:31:54,323,33.94,40.0,100,6.06
14:31:56,325,33.94,40.0,100,6.06
14:31:58,327,33.93,40.0,100,6.07
14:32:00,329,33.94,40.0,100,6.06
14:32:02,331,33.93,40.0,100,6.07
14:32:04,333,33.93,40.0,100,6.07
14:32:06,335,33.92,40.0,100,6.08
14:32:08,337,33.93,40.0,100,6.07
14:32:10,339,33.92,40.0,100,6.08
14:32:12,341,33.92,40.0,100,6.08
14:32:14,343,33.92,40.0,100,6.08
14:32:16,345,33.91,40.0,100,6.09
14:32:18,347,33.92,40.0,100,6.08
14:32:20,349,33.91,40.0,100,6.09
14:32:22,351,33.91,40.0,100,6.09
14:32:24,353,33.90,40.0,100,6.10
14:32:26,355,33.90,40.0,100,6.10
14:32:28,357,33.90,40.0,100,6.10
14:32:30,359,33.90,40.0,100,6.10
14:32:32,361,33.89,40.0,100,6.11
14:32:34,363,33.89,40.0,100,6.11
14:32:36,365,33.89,40.0,100,6.11
14:32:38,367,33.89,40.0,100,6.11
14:32:40,369,33.89,40.0,100,6.11
14:32:42,371,33.88,40.0,100,6.12
14:32:44,373,33.88,40.0,100,6.12
14:32:46,375,33.88,40.0,100,6.12
14:32:48,377,33.88,40.0,100,6.12
14:32:50,379,33.87,40.0,100,6.13
14:32:52,381,33.87,40.0,100,6.13
14:32:54,383,33.86,40.0,100,6.14
14:32:56,385,33.86,40.0,100,6.14
14:32:58,387,33.85,40.0,100,6.15
14:33:00,389,33.85,40.0,100,6.15
14:33:02,391,33.85,40.0,100,6.15
14:33:04,393,33.85,40.0,100,6.15
14:33:06,395,33.85,40.0,100,6.15
14:33:08,397,33.84,40.0,100,6.16
14:33:10,399,33.84,40.0,100,6.16
14:33:12,401,33.84,40.0,100,6.16
14:33:14,403,33.84,40.0,100,6.16
14:33:16,405,33.83,40.0,100,6.17
14:33:18,407,33.82,40.0,100,6.18
